Tabela 2 - Gorduras e açúcar na composição de alimentos por 100 gramas de parte comestível,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,(continuação)
Código e descrição do alimento ,,Código e descrição da preparação,,"Coles-
terol
(mg)","AG
Satura-
dos
(g)","AG
Mono 
(g)","AG
Poli 
(g)","AG
Lino-
léico 
(g)","AG
Linolê-
nico 
(g)","AG
Trans
total
(g)","Açúcar
total
(g)","Açúcar
de
adição
(g)"
Cereais e leguminosas,,,,,,,,,,,,
6300101,"Arroz (polido, parboilizado, agulha, agulhinha, etc.)",99,Não se aplica,-,"0,35","0,22","0,56","0,56","0,07","0,01",-,-
6300201,Arroz integral,99,Não se aplica,-,"0,45","0,62","0,86","0,80","0,08","0,01",-,-
6300701,Milho (em grão),1,Cru(a),-,"1,12","1,72","4,01","3,59","0,42","0,03","3,16",-
6300701,Milho (em grão),2,Cozido(a),-,"1,12","1,72","4,01","3,59","0,42","0,03","3,16",-
6300701,Milho (em grão),3,Grelhado(a)/brasa/churrasco,-,"1,12","1,72","4,01","3,59","0,42","0,03","3,16",-
6300701,Milho (em grão),4,Assado(a),-,"1,12","1,72","4,01","3,59","0,42","0,03","3,16",-
6300701,Milho (em grão),7,Refogado(a),-,"1,12","1,72","4,01","3,59","0,42","0,03","3,16",-
6300701,Milho (em grão),13,Ensopado,-,"1,12","1,72","4,01","3,59","0,42","0,03","3,16",-
6300701,Milho (em grão),99,Não se aplica,-,"1,12","1,72","4,01","3,59","0,42","0,03","3,16",-
6300706,Canjiquinha de milho em grão,1,Cru(a),-,"0,33","0,49","1,22","1,09","0,13","0,01","0,29",-
6300706,Canjiquinha de milho em grão,2,Cozido(a),-,"0,03","0,06","0,13","0,12","0,00",-,"0,29",-
6300706,Canjiquinha de milho em grão,13,Ensopado,-,"0,33","0,49","1,22","1,09","0,13","0,01","0,29",-
6300706,Canjiquinha de milho em grão,14,Mingau,-,"0,03","0,06","0,13","0,12","0,00",-,"0,29",-
6300706,Canjiquinha de milho em grão,15,Sopa,-,"0,04","0,03","0,03","0,03","0,01","0,00","3,28","2,52"
6300706,Canjiquinha de milho em grão,99,Não se aplica,-,"0,03","0,06","0,13","0,12","0,00",-,"0,29",-
6300707,Xerém de milho,99,Não se aplica,-,"0,03","0,06","0,13","0,12","0,00",-,"0,29",-
6301001,Amendoim (em grão) in natura,99,Não se aplica,-,"6,83","24,43","15,56","15,56","0,00",-,"4,00",-
6301101,Ervilha em grão,99,Não se aplica,-,"0,48","0,67","1,74","1,53","0,21","0,02","5,94",-
6301201,Fava (em grão),99,Não se aplica,-,"0,56","0,63","1,85","1,48","0,36","0,01","1,24",-
6301204,Mangalô amargo em grão,99,Não se aplica,-,"0,56","0,63","1,85","1,48","0,36","0,01","1,24",-
6301603,Feijão-de-corda,99,Não se aplica,-,"0,53","0,66","1,75","1,50","0,26","0,02","0,34",-
6301634,Feijão-verde,99,Não se aplica,-,"0,53","0,66","1,75","1,50","0,26","0,02","0,34",-
6302001,Semente de linhaça,99,Não se aplica,-,"3,66","7,53","28,73","5,90","22,81",-,"1,55",-
6302602,Andu,99,Não se aplica,-,"0,30","0,38","1,01","0,86","0,15","0,01","0,30",-
6302801,Grão de bico,99,Não se aplica,-,"0,70","1,21","2,76","2,52","0,23","0,02","1,70",-
6302901,Lentilha,99,Não se aplica,-,"0,41","0,59","1,50","1,31","0,19","0,01","0,39",-
6303001,Soja em grão,99,Não se aplica,-,"1,71","2,58","6,59","5,81","0,78","0,01","0,80",-
6303102,"Feijão (preto, mulatinho, roxo, rosinha, etc.)",99,Não se aplica,-,"0,30","0,38","1,01","0,86","0,15","0,01","0,30",-
6303501,Quirera não especificada,99,Não se aplica,-,"0,03","0,06","0,13","0,12","0,00",-,"0,29",-
6304034,Feijão-verde orgânico,99,Não se aplica,-,"0,53","0,66","1,75","1,50","0,26","0,02","0,34",-
6304101,Feijão orgânico,99,Não se aplica,-,"0,30","0,38","1,01","0,86","0,15","0,01","0,30",-
6304201,Pipoca  light,99,Não se aplica,-,"3,75","9,36","3,72","3,64","0,09","4,20","0,72",-
6304301,Arroz  orgânico,99,Não se aplica,-,"0,35","0,22","0,56","0,56","0,07","0,01",-,-
6304401,Arroz integral orgânico,99,Não se aplica,-,"0,45","0,62","0,86","0,80","0,08","0,01",-,-
6304602,Feijão-de-soja orgânico,99,Não se aplica,-,"1,71","2,58","6,59","5,81","0,78","0,01","0,80",-
6304901,Quinoa,99,Não se aplica,-,"0,60","1,06","2,44","2,17","0,25","0,01","1,89",-
Hortaliças tuberosas,,,,,,,,,,,,
6400101,Batata-inglesa,1,Cru(a),-,"0,03","0,00","0,04","0,03","0,01",-,"0,86",-
6400101,Batata-inglesa,2,Cozido(a),-,"0,03","0,00","0,04","0,03","0,01",-,"0,86",-
6400101,Batata-inglesa,3,Grelhado(a)/brasa/churrasco,-,"0,03","0,00","0,04","0,03","0,01",-,"0,86",-
6400101,Batata-inglesa,4,Assado(a),-,"0,03","0,00","0,04","0,03","0,01",-,"0,86",-
6400101,Batata-inglesa,5,Frito(a),-,"2,15","3,07","7,85","6,92","0,93","0,07","1,44",-
6400101,Batata-inglesa,7,Refogado(a),-,"0,48","0,67","1,72","1,52","0,21","0,02","0,86",-
6400101,Batata-inglesa,8,Molho vermelho,-,"0,03","0,01","0,05","0,04","0,01",-,"1,54",-
6400101,Batata-inglesa,9,Molho branco,"6,83","1,55","0,64","0,15","0,12","0,03","0,10","1,72",-
6400101,Batata-inglesa,10,Ao alho e óleo,-,"2,15","3,07","7,85","6,92","0,93","0,07","1,44",-
6400101,Batata-inglesa,11,Com manteiga/óleo,-,"0,48","0,67","1,72","1,52","0,21","0,02","0,86",-
6400101,Batata-inglesa,13,Ensopado,-,"0,48","0,67","1,72","1,52","0,21","0,02","0,86",-
6400101,Batata-inglesa,15,Sopa,-,"0,04","0,03","0,03","0,03","0,01","0,00","3,28","2,52"
6400101,Batata-inglesa,99,Não se aplica,-,"0,03","0,00","0,04","0,03","0,01",-,"0,86",-
6400303,Mandioquinha salsa (batata-baroa),2,Cozido(a),-,"0,03",-,"0,06","0,06",-,-,"5,74",-
6400303,Mandioquinha salsa (batata-baroa),7,Refogado(a),-,"0,29","0,41","1,09","0,97","0,12",-,"5,74",-
